prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,TURTLE,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,TAUTOG,19906498312wd,11150199012129291,,C,5,,2,1,9,9,Y,10,50,,3.5,1115019901212003,291,2,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901212,12,wd,,,1115019901212003,,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1445,06708,8,8,45,2156.383642,19906498312wd,,0,1115019901212003
,ATLANTIC HERRING,19906498312wd,11150199012209213,0,C,5,,2,1,9,9,Y,50,100,,2,1115019901220006,213,1,3,2,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220006,1,0,10,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1255,06460,8,8,64,5733.9859782,19906498312wd,,0,1115019901220006
,ATLANTIC HERRING,19906498312wd,11150199012209213,,C,5,,2,1,9,9,Y,40,90,,1,1115019901220002,213,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220002,,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1055,99999,8,8,71,5733.9859782,19906498312wd,,0,1115019901220002
,ATLANTIC HERRING,19906498312wd,11150199012209213,0,C,5,,2,1,9,9,Y,40,140,,2,1115019901220007,213,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220007,1,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1315,06460,8,8,69,5733.9859782,19906498312wd,,0,1115019901220007
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,1,1,1,1,Y,20,100,,4,1115019901128004,89,1,3,1,5,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128004,1,5,0,8,9,,Fairfield,08AUG91:10:50,8,1,1,,,,8857042001,0,1,88,8,1415,06606,8,8,56,2156.383642,19906498311wd,,0,1115019901128004
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,1,1,1,1,Y,98,998,,6.5,1115019901128011,89,1,3,3,2,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128011,1,,,8,9,,Fairfield,08AUG91:10:50,8,1,1,,,,8857042001,0,1,88,8,1620,06430,8,8,67,2156.383642,19906498311wd,,0,1115019901128011
,ATLANTIC HERRING,19906498312wd,11150199012209213,0,C,5,,2,1,9,9,Y,32,190,,1.5,1115019901220004,213,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220004,1,0,5,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1110,06460,8,8,75,5733.9859782,19906498312wd,,0,1115019901220004
,ATLANTIC HERRING,19906498312wd,11150199012209213,0,C,5,,2,1,9,9,Y,3,40,,1,1115019901220001,213,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220001,1,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1039,06460,8,8,62,5733.9859782,19906498312wd,,0,1115019901220001
,BLUEBACK HERRING,19906498311wd,1115019901128189,0,C,5,,2,1,1,1,Y,15,100,,0.5,1115019901128003,89,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128003,1,0,10,8,9,,Fairfield,08AUG91:10:50,8,8,1,,,,8747010102,0,1,88,8,1345,06430,8,8,74,2156.383642,19906498311wd,,0,1115019901128003
TAUTOG,WINTER FLOUNDER,19906498312wd,11150199012129291,0,C,5,,2,1,9,3,Y,3,5,,3.5,1115019901212001,291,2,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901212,12,wd,,,1115019901212001,1,,,8,9,,Hartford,08AUG91:10:50,8,8,1,,,,8857042001,8839010101,1,88,8,1430,06106,8,8,65,2156.383642,19906498312wd,,0,1115019901212001
,,19906498311wd,1115019901128189,,C,5,,2,1,1,1,Y,25,150,,2,1115019901128002,89,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128002,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,0,0,1,88,8,1333,99999,8,8,66,2156.383642,19906498311wd,,0,1115019901128002
,TAUTOG,19906498312wd,11150199012129291,,C,5,,2,1,9,9,Y,10,50,,3.5,1115019901212002,291,2,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901212,12,wd,,,1115019901212002,,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1445,06708,8,8,52,2156.383642,19906498312wd,,0,1115019901212002
,WINTER FLOUNDER,19906498312wd,111501990121711644,0,C,5,,1,1,11,11,Y,1,60,,2.5,1115019901217002,644,5,3,0,2,0,,,,4,9,9,4,1,6,1990,1115019901217,12,wd,,,1115019901217002,1,1,0,8,9,,New London,08AUG91:10:50,8,1,1,,,,8857042001,0,1,88,8,1300,06360,8,8,62,5733.9859782,19906498312wd,,0,1115019901217002
WINTER FLOUNDER,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,1,Y,16,56,,2,1164319901101001,64,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1164319901101,11,wd,,,1164319901101001,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8835250101,8857042001,1,88,8,1120,06896,8,8,59,5733.9859782,19906498311wd,,0,1164319901101001
,BROWN TROUT,19906498312wd,111501990121711635,,C,5,,2,1,11,11,Y,10,30,,1.5,1115019901217001,635,5,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901217,12,wd,,,1115019901217001,,,,8,9,,New London,08AUG91:10:50,8,8,1,,,,8755010306,0,1,88,8,1236,06375,8,8,51,5733.9859782,19906498312wd,,0,1115019901217001
,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,1,Y,40,140,,4,1164319901101005,64,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1164319901101,11,wd,,,1164319901101005,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8835250101,0,1,88,8,1150,06854,8,8,80,5733.9859782,19906498311wd,,0,1164319901101005
,WINTER FLOUNDER,19906498312wd,11150199012139267,,C,5,,2,1,9,9,Y,1,12,,1,1115019901213001,267,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901213,12,wd,,,1115019901213001,,,,8,1,,New Haven,08AUG91:10:50,8,8,1,,,,8857042001,0,1,88,8,1254,06477,8,8,70,5733.9859782,19906498312wd,,0,1115019901213001
,ATLANTIC HERRING,19906498312wd,11150199012209213,0,C,5,,2,1,9,9,Y,30,200,,4,1115019901220003,213,1,3,2,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220003,1,0,20,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1108,06460,8,8,75,5733.9859782,19906498312wd,,0,1115019901220003
,WINTER FLOUNDER,19906498312wd,111501990121711644,,C,5,,2,1,11,11,Y,24,60,,2.5,1115019901217003,644,5,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901217,12,wd,,,1115019901217003,,,,8,9,,New London,08AUG91:10:50,8,8,1,,,,8857042001,0,1,88,8,1300,06360,8,8,48,5733.9859782,19906498312wd,,0,1115019901217003
,BLUEBACK HERRING,19906498311wd,1115019901128189,0,C,5,,2,1,1,1,Y,16,50,,3,1115019901128001,89,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128001,1,0,7,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8747010102,0,1,88,8,1319,06605,8,8,69,2156.383642,19906498311wd,,0,1115019901128001
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,1,1,1,1,Y,20,60,,8,1115019901128007,89,1,3,1,1,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128007,1,1,0,8,9,,Fairfield,08AUG91:10:50,8,1,1,,,,8857042001,0,1,88,8,1539,06604,8,8,33,2156.383642,19906498311wd,,0,1115019901128007
,TAUTOG,19906498611wd,11643199011021148,,C,5,,2,1,1,5,Y,12,40,,5,1164319901102016,148,6,6,0,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102016,,,,8,1,,Litchfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1537,06790,8,8,47,51.135261892,19906498611wd,,0,1164319901102016
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,1,Y,4,20,,5,1164319901102019,148,6,6,1,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102019,1,0,3,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1545,06484,8,8,60,51.135261892,19906498611wd,,0,1164319901102019
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,1,Y,0,0,,5,1164319901102023,148,6,6,1,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102023,1,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1610,06610,8,8,29,51.135261892,19906498611wd,,0,1164319901102023
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,27,O,0,0,,5.5,1164319901103020,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103020,1,0,4,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1638,12533,8,8,40,29.473236849,19906498611we,,0,1164319901103020
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,3,O,0,1,,5.5,1164319901103006,148,6,6,2,0,0,,,,5,9,34,4,1,6,1990,1164319901103,11,we,,,1164319901103006,1,,,8,1,,Bergen,21AUG91:15:40,8,8,1,,,,8839010101,8835250101,1,88,8,1602,07666,8,8,62,29.473236849,19906498611we,,0,1164319901103006
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,1,Y,0,2,,5,1164319901102024,148,6,6,1,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102024,1,0,3,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1610,06610,8,8,52,51.135261892,19906498611wd,,0,1164319901102024
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,71,O,1,2,,5.5,1164319901103015,148,6,6,2,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103015,1,0,6,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1627,12518,8,8,37,29.473236849,19906498611we,,0,1164319901103015
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,1,1,1,119,O,2,6,,5.5,1164319901103005,148,6,6,0,4,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103005,1,4,0,8,1,,Westchester,08AUG91:10:50,8,1,1,,,,8839010101,8835250101,1,88,8,1456,10522,8,8,77,29.473236849,19906498611we,,0,1164319901103005
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,9,Y,2,4,,5,1164319901102002,148,6,6,0,1,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102002,1,1,0,8,1,,New Haven,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1455,06704,8,8,27,51.135261892,19906498611wd,,0,1164319901102002
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,119,O,4,12,,5.5,1164319901103001,148,6,6,2,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103001,1,0,1,8,1,,Westchester,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1500,10562,8,8,39,29.473236849,19906498611we,,0,1164319901103001
,TAUTOG,19906498611wd,11643199011021148,,C,5,,2,1,1,1,Y,0,0,,5,1164319901102006,148,6,6,0,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102006,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1500,06784,8,8,30,51.135261892,19906498611wd,,0,1164319901102006
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,5,Y,15,30,,5.5,1164319901103008,148,6,6,2,0,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103008,1,0,4,8,1,,Litchfield,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1610,06776,8,8,44,19.464008454,19906498611we,,0,1164319901103008
,TAUTOG,19906498611wd,11643199011021148,,C,5,,2,1,1,1,Y,3,5,,5,1164319901102008,148,6,6,0,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102008,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1510,06877,8,8,64,51.135261892,19906498611wd,,0,1164319901102008
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,5,O,3,12,,5,1164319901102022,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901102,11,wd,,,1164319901102022,1,0,3,8,1,,Bronx,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1555,10468,8,8,53,77.431207894,19906498611wd,,0,1164319901102022
,TAUTOG,19906498611wd,11643199011021148,,C,5,,2,1,1,119,O,0,0,,5,1164319901102020,148,6,6,0,0,0,,,,5,9,36,4,1,6,1990,1164319901102,11,wd,,,1164319901102020,,,,8,1,,Westchester,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1550,10573,8,8,27,77.431207894,19906498611wd,,0,1164319901102020
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,9,Y,10,30,,5,1164319901102018,148,6,6,2,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102018,1,0,7,8,1,,New Haven,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1540,06810,8,8,30,51.135261892,19906498611wd,,0,1164319901102018
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,1,Y,3,7,,5,1164319901102025,148,6,6,2,0,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102025,1,0,4,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1610,06610,8,8,28,51.135261892,19906498611wd,,0,1164319901102025
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,2,1,1,111,O,0,0,,5,1164319901102015,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901102,11,wd,,,1164319901102015,1,,,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,0,1,88,8,1535,12566,8,8,69,77.431207894,19906498611wd,,0,1164319901102015
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,9,Y,2,6,,5.5,1164319901103013,148,6,6,2,0,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103013,1,0,5,8,1,,New Haven,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1622,06511,8,8,29,19.464008454,19906498611we,,0,1164319901103013
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,53,O,0,0,,5.5,1164319901103028,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103028,1,0,3,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1650,13402,8,8,40,29.473236849,19906498611we,,0,1164319901103028
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,9,Y,32,80,,5,1164319901102012,148,6,6,0,2,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102012,1,2,0,8,1,,New Haven,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1525,06483,8,8,53,51.135261892,19906498611wd,,0,1164319901102012
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,1,Y,4,20,,5.5,1164319901103011,148,6,6,3,0,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103011,1,0,4,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1617,06484,8,8,41,19.464008454,19906498611we,,0,1164319901103011
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,1,1,1,9,Y,3,15,,5.5,1164319901103007,148,6,6,0,3,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103007,1,8,0,8,9,,New Haven,08AUG91:10:50,8,1,1,,,,8839010101,8835250101,1,88,8,1605,06705,8,8,38,19.464008454,19906498611we,,0,1164319901103007
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,1,1,1,119,O,0,3,,5.5,1164319901103003,148,6,6,0,2,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103003,1,2,0,8,1,,Westchester,08AUG91:10:50,8,1,1,,,,8839010101,8835250101,1,88,8,1502,10603,8,8,40,29.473236849,19906498611we,,0,1164319901103003
TAUTOG,BLUEFISH,19906498611we,11643199011031148,0,C,5,,2,1,1,9,Y,10,12,,5.5,1164319901103010,148,6,6,1,0,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103010,1,0,3,8,1,,New Haven,08AUG91:10:50,8,8,1,,,,8835250101,8839010101,1,88,8,1615,06708,8,8,39,19.464008454,19906498611we,,0,1164319901103010
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,119,O,0,0,,5.5,1164319901103026,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103026,1,0,7,8,1,,Westchester,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1650,13460,8,8,69,29.473236849,19906498611we,,0,1164319901103026
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,5,O,0,0,,5,1164319901102021,148,6,6,0,3,0,,,,5,9,36,4,1,6,1990,1164319901102,11,wd,,,1164319901102021,1,3,0,8,1,,Bronx,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1557,10467,8,8,40,77.431207894,19906498611wd,,0,1164319901102021
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,71,O,1,5,,5.5,1164319901103017,148,6,6,2,0,0,,,,,9,30,4,1,6,1990,1164319901103,11,we,,,1164319901103017,1,0,6,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1627,99998,8,8,50,29.473236849,19906498611we,,0,1164319901103017
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,1,Y,2,6,,5,1164319901102007,148,6,6,1,7,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102007,1,7,0,8,1,,Fairfield,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1502,06877,8,8,39,51.135261892,19906498611wd,,0,1164319901102007
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,1,1,1,1,Y,4,14,,5.5,1164319901103014,148,6,6,0,1,0,,,,4,9,9,4,1,6,1990,1164319901103,11,we,,,1164319901103014,1,1,0,8,9,,Fairfield,08AUG91:10:50,8,1,1,,,,8839010101,8835250101,1,88,8,1625,06606,8,8,75,19.464008454,19906498611we,,0,1164319901103014
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,1,Y,2,5,,5,1164319901102005,148,6,6,0,2,0,,,,4,9,9,4,2,6,1990,1164319901102,11,wd,,,1164319901102005,1,2,0,8,9,,Fairfield,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1458,06605,8,8,32,51.135261892,19906498611wd,,0,1164319901102005
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,17,O,0,0,,5.5,1164319901103019,148,6,6,3,0,0,,,,5,9,34,4,1,6,1990,1164319901103,11,we,,,1164319901103019,1,0,4,8,1,,Hudson,21AUG91:15:40,8,8,1,,,,8839010101,8835250101,1,88,8,1635,07305,8,8,63,29.473236849,19906498611we,,0,1164319901103019
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,1,Y,24,150,,5,1164319901102017,148,6,6,1,1,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102017,1,1,0,8,1,,Fairfield,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1537,06480,8,8,50,51.135261892,19906498611wd,,0,1164319901102017
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,53,O,0,0,,5.5,1164319901103027,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103027,1,0,6,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1650,13400,8,8,41,29.473236849,19906498611we,,0,1164319901103027
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,119,O,0,0,,5.5,1164319901103002,148,6,6,2,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103002,1,0,3,8,1,,Westchester,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1502,10801,8,8,25,29.473236849,19906498611we,,0,1164319901103002
BLUEFISH,TAUTOG,19906498611we,11643199011031148,0,C,5,,2,1,1,71,O,1,2,,5.5,1164319901103016,148,6,6,1,0,0,,,,5,9,36,4,1,6,1990,1164319901103,11,we,,,1164319901103016,1,0,2,8,1,,,08AUG91:10:50,8,8,1,,,,8839010101,8835250101,1,88,8,1627,12518,8,8,44,29.473236849,19906498611we,,0,1164319901103016
,TAUTOG,19906498611wd,11643199011021148,0,C,5,,1,1,1,9,Y,1,2,,5,1164319901102013,148,6,6,0,1,0,,,,4,9,9,4,1,6,1990,1164319901102,11,wd,,,1164319901102013,1,1,0,8,1,,New Haven,08AUG91:10:50,8,1,1,,,,8839010101,0,1,88,8,1525,06483,8,8,53,51.135261892,19906498611wd,,0,1164319901102013
